,id,title,overview,release_date,vote_average,vote_count,genre
0,539972,Kraven the Hunter,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",12/11/2024,6.5,671,"['Action', 'Science Fiction', 'Adventure', 'Fantasy', 'Thriller']"
1,762509,Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",12/18/2024,7.423,792,"['Adventure', 'Family', 'Animation']"
2,939243,Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",12/19/2024,7.6,701,"['Action', 'Science Fiction', 'Comedy', 'Family']"
3,912649,Venom: The Last Dance,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",10/22/2024,6.8,2475,"['Action', 'Science Fiction', 'Adventure']"
4,558449,Gladiator II,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",11/5/2024,6.8,2423,"['Action', 'Adventure', 'Drama']"
5,1241982,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",11/21/2024,7,874,"['Animation', 'Adventure', 'Family', 'Comedy']"
6,402431,Wicked,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",11/20/2024,7,1391,"['Drama', 'Romance', 'Fantasy']"
7,970450,Werewolves,"A year after a supermoon’s light activated a dormant gene, transforming humans into bloodthirsty werewolves and causing nearly a billion deaths, the nightmare resurfaces as the supermoon rises again. Two scientists attempt to stop the mutation but fail and must now struggle to reach one of their family homes.",12/4/2024,6.473,207,"['Action', 'Horror', 'Thriller']"
8,1222248,Number 24,"On the brink of the Second World War, a young Norwegian man's drive to resist the Nazis sets a new course for his future – and the future of his country.",10/30/2024,7.322,149,"['War', 'History', 'Drama']"
9,845781,Red One,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",10/31/2024,7.098,2107,"['Action', 'Fantasy', 'Comedy']"
10,1156593,Your Fault,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,12/26/2024,7.2,911,"['Romance', 'Drama']"
11,1357633,Solo Leveling -ReAwakening-,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate. A catch-up recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly anticipated second season in one momentous theatrical fan experience.",11/26/2024,6.9,79,"['Action', 'Adventure', 'Fantasy', 'Animation']"
12,839033,The Lord of the Rings: The War of the Rohirrim,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.",12/5/2024,6.6,343,"['Animation', 'Fantasy', 'Action', 'Adventure']"
13,1035048,Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,11/7/2024,6.266,355,"['Action', 'Science Fiction', 'Thriller']"
14,1043905,Dirty Angels,"During the United States' 2021 withdrawal from Afghanistan, a group of female soldiers posing as medical relief are sent back in to rescue a group of kidnapped teenagers caught between ISIS and the Taliban.",12/11/2024,6.4,150,"['Action', 'Drama', 'Thriller', 'War']"
